"City","Latitude","Longitude","Country"
"https://kracr.iiitd.edu.in/Location#tissemsilt","35.6072","1.8106","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#bouira","36.38","3.9014","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#adrar","27.8742","-0.2939","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#boudouaou","36.73","3.41","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#tindouf","27.6753","-8.1286","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#boumerdes","36.7603","3.4724","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#elgolea","30.6","2.9","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#touggourt","33.1","6.0667","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#timimoun","29.25","0.2333","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#eltarf","36.7669","8.3136","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#tipasa","36.5942","2.443","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#illizi","26.508","8.4829","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#bordjmokhtar","21.3289","0.9542","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#naama","33.2678","-0.3111","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#djanet","24.555","9.4853","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#inguezzam","19.5686","5.7722","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#mila","36.4481","6.2622","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#ouleddjellal","34.4167","5.0667","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#essenia","35.6478","-0.6239","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#khemismiliana","36.26","2.2","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#elmilia","36.75","6.2667","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#khemiselkhechna","36.65","3.3306","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#mecheria","33.55","-0.2833","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#rouiba","36.7333","3.2833","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#tighenif","35.4167","0.333","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#lakhdaria","36.5622","3.5944","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#boufarik","36.575","2.9097","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#azzaba","36.7333","7.1","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#akbou","36.4667","4.5333","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#ouledmoussa","36.6831","3.3681","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#hassimessaoud","31.7","6.0667","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#draaelmizan","36.5333","3.8333","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#souma","36.5183","2.9053","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#bougara","36.5333","3.0833","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#azazga","36.7453","4.3711","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#didouchemourad","36.4484","6.6339","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#dellys","36.9133","3.9141","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#draabenkhedda","36.7349","3.9556","https://kracr.iiitd.edu.in/Location#algeria"
"https://kracr.iiitd.edu.in/Location#boghni","36.5437","3.9523","https://kracr.iiitd.edu.in/Location#algeria"
